Country Name,Religious Affiliation,Attend weekly,Pray daily,Think religion is very important
Afghanistan,100,61,96,92
Albania,99,7,15,15
Algeria,99,48,88,73
Argentina,89,20,40,43
Armenia,98,10,45,53
Australia,57,17,18,18
Austria,84,11,8,12
Azerbaijan,100,2,76,38
Bangladesh,100,54,57,80
Belarus,97,16,25,21
Belgium,62,6,11,11
Bolivia,96,42,56,71
Bosnia and Herzegovina,97,24,33,54
Botswana,91,61,66,71
Brazil,92,45,61,72
Bulgaria,95,9,15,19
Burkina Faso,100,,,93
Cameroon,98,70,82,90
Canada,67,20,25,27
Chad,97,77,83,86
Chile,84,19,39,41
China,13,1,1,3
Colombia,94,50,73,77
Costa Rica,91,52,78,76
Croatia,93,24,41,42
Czech Republic,28,7,9,7
Democratic Republic of the Congo,96,78,69,88
Denmark,70,3,10,9
Djibouti,100,87,87,89
Dominican Republic,82,48,74,78
Ecuador,95,38,63,76
Egypt,100,62,72,72
El Salvador,88,61,77,85
Estonia,55,2,9,6
Ethiopia,100,82,65,98
Finland,78,4,18,10
France,72,12,10,11
Georgia,100,17,38,51
Germany,76,10,9,10
Ghana,99,84,76,89
Greece,96,16,30,56
Guatemala,94,75,82,89
Guinea Bissau,100,81,83,91
Honduras,90,64,78,90
Hungary,79,9,16,14
India,100,,75,80
Indonesia,100,72,84,93
Iran,100,38,87,78
Iraq,100,42,87,82
Ireland,85,20,19,22
Israel,97,30,27,36
Italy,85,23,21,21
Japan,44,,33,10
Jordan,100,64,76,85
Kazakhstan,95,22,20,22
Kenya,100,81,79,87
Kosovo,100,23,54,48
Kyrgyzstan,98,21,24,47
Latvia,79,6,18,11
Lebanon,100,35,51,57
Liberia,100,79,80,90
Lithuania,94,9,15,16
Malaysia,99,45,61,77
Mali,100,79,81,94
Mexico,93,45,40,45
Moldova,98,15,49,42
Morocco,100,55,80,91
Mozambique,87,84,68,87
Netherlands,51,12,20,20
Nicaragua,93,55,75,88
Niger,99,88,87,86
Nigeria,100,89,95,88
Norway,57,7,18,19
Pakistan,100,59,67,94
Palestinian Territory,100,55,78,86
Panama,93,48,69,61
Paraguay,99,32,82,56
Peru,96,36,51,73
Philippines,100,53,82,91
Poland,93,42,29,30
Portugal,85,25,38,36
Puerto Rico,92,47,67,77
Romania,99,24,45,50
Russia,85,7,18,16
Rwanda,99,80,62,90
Senegal,100,69,88,98
Serbia,96,7,27,34
Slovakia,75,23,31,23
South Africa,93,55,52,75
South Korea,54,29,32,16
Spain,70,15,23,22
Sweden,58,6,11,10
Switzerland,79,11,8,9
Tajikistan,100,31,48,50
Tanzania,99,82,56,93
Tunisia,100,47,67,78
Turkey,99,44,60,68
Uganda,100,82,66,86
Ukraine,93,17,30,23
United Kingdom,77,8,6,10
United States,77,36,55,53
Uruguay,63,14,29,29
Uzbekistan,99,9,26,29
Venezuela,93,26,47,67
Vietnam,36,,14,18
Zambia,99,86,78,91
